Particle ID =     1
                 t                 x                 y                 z                ux                uy                uz               urx               ury               urz          Fx_hydro          Fy_hydro          Fz_hydro         RFx_hydro         RFy_hydro         RFz_hydro           Fx_coll           Fy_coll           Fz_coll
  0.199529867E-01   0.500000000E-01   0.500000000E-01   0.127360054E+00  -0.511443599E-16   0.523205278E-16  -0.122823436E-01  -0.572590353E-15   0.122818571E-14   0.949729983E-15   0.960984339E-16   0.165993096E-16  -0.962167935E-03  -0.414965357E-20   0.188139115E-19   0.286106059E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.205072364E-01   0.500000000E-01   0.500000000E-01   0.127353175E+00  -0.354606439E-16   0.564288674E-16  -0.125426735E-01  -0.638178630E-15   0.905029000E-15   0.847341070E-15   0.560059253E-16   0.146707175E-16  -0.929627606E-03  -0.526979536E-20  -0.259645446E-19  -0.822660155E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.210614860E-01   0.500000000E-01   0.500000000E-01   0.127346150E+00  -0.308817863E-16   0.621842387E-16  -0.128054445E-01  -0.839049406E-15   0.641382465E-15   0.145676398E-14   0.163509183E-16   0.205522017E-16  -0.938344624E-03  -0.161392851E-19  -0.211831042E-19   0.489650622E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.216157356E-01   0.500000000E-01   0.500000000E-01   0.127338979E+00  -0.427563252E-16   0.655664253E-16  -0.130712193E-01  -0.979301551E-15   0.545093170E-15   0.173948296E-14  -0.424035057E-16   0.120776535E-16  -0.949071395E-03  -0.112687837E-19  -0.773651802E-20   0.227155104E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.221699853E-01   0.500000000E-01   0.500000000E-01   0.127331662E+00  -0.479873260E-16   0.669618529E-16  -0.133312612E-01  -0.111741811E-14   0.145555645E-15   0.137986344E-14  -0.186796957E-16   0.498301669E-17  -0.928599205E-03  -0.110971964E-19  -0.321014839E-19  -0.288942079E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.227242349E-01   0.500000000E-01   0.500000000E-01   0.127324202E+00  -0.449725193E-16   0.790547908E-16  -0.135886923E-01  -0.157786275E-14  -0.262416471E-15   0.116667558E-14   0.107657547E-16   0.431833996E-16  -0.919276348E-03  -0.369951643E-19  -0.327791747E-19  -0.171289210E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.232784845E-01   0.500000000E-01   0.500000000E-01   0.127316598E+00  -0.558616066E-16   0.817373577E-16  -0.138526713E-01  -0.182266513E-14  -0.418219098E-15   0.835836346E-15  -0.388844974E-16   0.957933971E-17  -0.942658306E-03  -0.196690398E-19  -0.125182122E-19  -0.265818092E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.238327341E-01   0.500000000E-01   0.500000000E-01   0.127308847E+00  -0.634867650E-16   0.696262667E-16  -0.141166120E-01  -0.167679772E-14   0.302321050E-16   0.270221495E-15  -0.272291368E-16  -0.432482239E-16  -0.942521727E-03   0.117199505E-19   0.360315319E-19  -0.454452333E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.243869838E-01   0.500000000E-01   0.500000000E-01   0.127300952E+00  -0.699079463E-16   0.609431430E-16  -0.143707796E-01  -0.166252295E-14   0.406678982E-15   0.309098502E-15  -0.229297829E-16  -0.310070891E-16  -0.907622357E-03   0.114692987E-20   0.302462287E-19   0.312363552E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.249412334E-01   0.500000000E-01   0.500000000E-01   0.127292921E+00  -0.665944853E-16   0.587611466E-16  -0.146083898E-01  -0.214180848E-14   0.274514778E-15   0.814785753E-15   0.118322371E-16  -0.779182220E-17  -0.848496675E-03  -0.385089658E-19  -0.106189452E-19   0.406302541E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.254954830E-01   0.500000000E-01   0.500000000E-01   0.127284760E+00  -0.461689180E-16   0.547000491E-16  -0.148396549E-01  -0.240284248E-14   0.404429703E-15   0.727999288E-15   0.729388878E-16  -0.145020175E-16  -0.825838537E-03  -0.209731955E-19   0.104382232E-19  -0.697299789E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.260497327E-01   0.500000000E-01   0.500000000E-01   0.127276469E+00  -0.915647587E-17   0.494946273E-16  -0.150807627E-01  -0.205297931E-14   0.598150621E-15   0.524615676E-15   0.132169958E-15  -0.185883543E-16  -0.860986148E-03   0.281103181E-19   0.155648182E-19  -0.163411829E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.266039823E-01   0.500000000E-01   0.500000000E-01   0.127268040E+00   0.169011147E-16   0.496081942E-16  -0.153335837E-01  -0.115858234E-14   0.535931473E-15   0.392075886E-15   0.930506188E-16   0.405543149E-18  -0.902813911E-03   0.718617606E-19  -0.499909731E-20  -0.106491222E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.271582319E-01   0.500000000E-01   0.500000000E-01   0.127259471E+00   0.289441859E-16   0.443982620E-16  -0.155883332E-01  -0.436207390E-15   0.371636189E-15  -0.617913007E-16   0.430053279E-16  -0.186044606E-16  -0.909700456E-03   0.580403751E-19  -0.132005684E-19  -0.364666878E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.277124816E-01   0.500000000E-01   0.500000000E-01   0.127250763E+00   0.288825764E-16   0.336948968E-16  -0.158320796E-01  -0.349185761E-15   0.513249323E-15  -0.275400918E-15  -0.220004993E-18  -0.382212911E-16  -0.870408370E-03   0.699189245E-20   0.113781346E-19  -0.171628077E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.282667312E-01   0.500000000E-01   0.500000000E-01   0.127241922E+00   0.113507095E-16   0.256434528E-16  -0.160739450E-01  -0.212851870E-15   0.803217135E-15   0.958727714E-16  -0.626055990E-16  -0.287513862E-16  -0.863691938E-03   0.109539654E-19   0.232979294E-19   0.298305807E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.288209808E-01   0.500000000E-01   0.500000000E-01   0.127232946E+00  -0.419822500E-17   0.207362740E-16  -0.163140998E-01  -0.185998140E-15   0.931861398E-15   0.501408725E-15  -0.555246261E-16  -0.175233400E-16  -0.857583114E-03   0.215760608E-20   0.103361299E-19   0.325834374E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.293752305E-01   0.500000000E-01   0.500000000E-01   0.127223838E+00  -0.330703284E-16   0.242145008E-16  -0.165525310E-01  -0.904445787E-18   0.692079850E-15   0.804579543E-15  -0.103101132E-15   0.124206095E-16  -0.851428355E-03   0.148716501E-19  -0.192656335E-19   0.243587461E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.299294801E-01   0.500000000E-01   0.500000000E-01   0.127214598E+00  -0.504879927E-16   0.254464755E-16  -0.167891394E-01   0.133508448E-15   0.459492375E-15   0.135043264E-14  -0.621977860E-16   0.439933246E-17  -0.844919351E-03   0.107996198E-19  -0.186876141E-19   0.438574433E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.304837297E-01   0.500000000E-01   0.500000000E-01   0.127205227E+00  -0.577350270E-16   0.162714769E-16  -0.170243602E-01   0.298522971E-16   0.385248279E-15   0.984382225E-15  -0.258788711E-16  -0.327635549E-16  -0.839963830E-03  -0.832841989E-20  -0.596526110E-20  -0.294109081E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.310379794E-01   0.500000000E-01   0.500000000E-01   0.127195727E+00  -0.655766610E-16   0.943936749E-17  -0.172579501E-01  -0.204711043E-15   0.505823684E-15   0.356778890E-15  -0.280021628E-16  -0.243971906E-16  -0.834140371E-03  -0.188463682E-19   0.968782446E-20  -0.504257976E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.315922290E-01   0.500000000E-01   0.500000000E-01   0.127186097E+00  -0.741062240E-16   0.119158999E-16  -0.174904405E-01  -0.844479947E-16   0.563460882E-15   0.397764190E-15  -0.304587299E-16   0.884359881E-17  -0.830213993E-03   0.966272773E-20   0.463095325E-20   0.329302969E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.321464786E-01   0.500000000E-01   0.500000000E-01   0.127176339E+00  -0.652023563E-16   0.102311447E-16  -0.177214338E-01   0.151069122E-15   0.292363716E-15   0.429893988E-15   0.317953570E-16  -0.601619377E-17  -0.824867818E-03   0.189230009E-19  -0.217817371E-19   0.258152023E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.327007282E-01   0.500000000E-01   0.500000000E-01   0.127166455E+00  -0.491391115E-16   0.843415334E-17  -0.179452327E-01  -0.265842527E-17   0.305088845E-15   0.451481533E-15   0.573612080E-16  -0.641698475E-17  -0.799176888E-03  -0.123514866E-19   0.102242097E-20   0.173448594E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.332549779E-01   0.500000000E-01   0.500000000E-01   0.127156447E+00  -0.559468871E-16   0.695484600E-17  -0.181678944E-01  -0.517913353E-18   0.179077050E-15  -0.428341881E-17  -0.243102958E-16  -0.528254764E-17  -0.795116327E-03   0.171982867E-21  -0.101246200E-19  -0.366191668E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.338092275E-01   0.500000000E-01   0.500000000E-01   0.127146315E+00  -0.691000351E-16  -0.230442133E-17  -0.183933061E-01   0.225356320E-15   0.652140837E-16  -0.351463338E-15  -0.469693679E-16  -0.330644751E-16  -0.804935914E-03   0.181482279E-19  -0.914850286E-20  -0.278947280E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.343634771E-01   0.500000000E-01   0.500000000E-01   0.127136059E+00  -0.517139522E-16  -0.827403203E-17  -0.186168151E-01   0.197163757E-15   0.472843603E-16  -0.290003762E-16   0.620850099E-16  -0.213172422E-16  -0.798141716E-03  -0.226517673E-20  -0.144059241E-20   0.259088044E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
