Particle ID =     1
                 t                 x                 y                 z                ux                uy                uz               urx               ury               urz                Fx                Fy                Fz               RFx               RFy               RFz               Fxa               Fya               Fza
  0.727839766E-01   0.500002585E-01   0.500002585E-01   0.125575344E+00   0.155620224E-04   0.155620224E-04  -0.387919906E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.114698423E-05   0.114698423E-05   0.242869933E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.120734071E-05   0.120734071E-05   0.242532038E-02 
  0.753834044E-01   0.500003011E-01   0.500003011E-01   0.125474095E+00   0.172054393E-04   0.172054393E-04  -0.391075444E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.118819081E-05   0.118819081E-05   0.244911776E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.125129703E-05   0.125129703E-05   0.244677107E-02 
  0.779828321E-01   0.500003481E-01   0.500003481E-01   0.125372060E+00   0.188894322E-04   0.188894322E-04  -0.393973976E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.121687997E-05   0.121687997E-05   0.246774206E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.128219157E-05   0.128219157E-05   0.246633953E-02 
  0.805822598E-01   0.500003994E-01   0.500003994E-01   0.125269303E+00   0.205901922E-04   0.205901922E-04  -0.396638145E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.122822622E-05   0.122822622E-05   0.248472339E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.129495809E-05   0.129495809E-05   0.248418391E-02 
  0.831816876E-01   0.500004552E-01   0.500004552E-01   0.125165882E+00   0.222848617E-04   0.222848617E-04  -0.399088935E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.122293372E-05   0.122293372E-05   0.250018256E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.129032076E-05   0.129032076E-05   0.250043062E-02 
  0.857811153E-01   0.500005153E-01   0.500005153E-01   0.125061849E+00   0.239651635E-04   0.239651635E-04  -0.401345439E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.121159090E-05   0.121159090E-05   0.251425671E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.127938125E-05   0.127938125E-05   0.251522346E-02 
  0.883805431E-01   0.500005798E-01   0.500005798E-01   0.124957252E+00   0.256328217E-04   0.256328217E-04  -0.403425047E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.120147809E-05   0.120147809E-05   0.252706986E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.126975432E-05   0.126975432E-05   0.252869235E-02 
  0.909799708E-01   0.500006487E-01   0.500006487E-01   0.124852137E+00   0.272898460E-04   0.272898460E-04  -0.405343403E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.119283987E-05   0.119283987E-05   0.253874881E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.126165772E-05   0.126165772E-05   0.254097015E-02 
  0.935793985E-01   0.500007218E-01   0.500007218E-01   0.124746542E+00   0.289368009E-04   0.289368009E-04  -0.407114987E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.118462703E-05   0.118462703E-05   0.254937793E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.125399090E-05   0.125399090E-05   0.255214526E-02 
  0.961788263E-01   0.500007992E-01   0.500007992E-01   0.124640505E+00   0.305712825E-04   0.305712825E-04  -0.408752888E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.117466357E-05   0.117466357E-05   0.255905843E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.124449373E-05   0.124449373E-05   0.256232391E-02 
  0.987782540E-01   0.500008808E-01   0.500008808E-01   0.124534057E+00   0.321890243E-04   0.321890243E-04  -0.410268774E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.116159042E-05   0.116159042E-05   0.256789322E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.123174808E-05   0.123174808E-05   0.257161417E-02 
  0.101377682E+00   0.500009666E-01   0.500009666E-01   0.124427231E+00   0.337880252E-04   0.337880252E-04  -0.411673134E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.114704535E-05   0.114704535E-05   0.257596774E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.121747871E-05   0.121747871E-05   0.258010572E-02 
  0.103977109E+00   0.500010565E-01   0.500010565E-01   0.124320053E+00   0.353658006E-04   0.353658006E-04  -0.412976167E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.113067192E-05   0.113067192E-05   0.258330325E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.120131760E-05   0.120131760E-05   0.258782076E-02 
  0.106576537E+00   0.500011505E-01   0.500011505E-01   0.124212548E+00   0.369171611E-04   0.369171611E-04  -0.414187637E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.111051488E-05   0.111051488E-05   0.258993132E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.118120536E-05   0.118120536E-05   0.259479238E-02 
  0.109175965E+00   0.500012485E-01   0.500012485E-01   0.124104739E+00   0.384388172E-04   0.384388172E-04  -0.415316672E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.108795298E-05   0.108795298E-05   0.259589799E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.115858843E-05   0.115858843E-05   0.260106896E-02 
  0.111775393E+00   0.500013504E-01   0.500013504E-01   0.123996647E+00   0.399325444E-04   0.399325444E-04  -0.416371470E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.106665738E-05   0.106665738E-05   0.260127066E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.113732339E-05   0.113732339E-05   0.260672141E-02 
